config_id,duration,val,train,test,model_name,dataset_name,dataset_id,hp
76,821.9759981632233,0.8157340201357995,0.8475,0.818783865141481,cocktails_smac,electricity,44120,random search (sorted)
77,824.211944103241,0.8213533130414423,0.8736,0.824051776038531,cocktails_smac,electricity,44120,local search
80,781.3520655632019,0.8144462655115898,0.8464,0.8190848886213125,cocktails_smac,electricity,44120,local search
82,820.6532745361328,0.8165535003512058,0.8493,0.8202388119606663,cocktails_smac,electricity,44120,local search
62,1822.7084481716156,0.7587216108639663,0.7664,0.7666566325506723,cocktails_smac,electricity,44120,random search
81,858.5471837520599,0.821704518848045,0.9007,0.8242524583584186,cocktails_smac,electricity,44120,local search
83,876.723445892334,0.8225239990634512,0.891,0.82771422837648,cocktails_smac,electricity,44120,random search (sorted)
78,1050.180986881256,0.8166705689534067,0.8634,0.8207405177603853,cocktails_smac,electricity,44120,local search
84,905.7363619804382,0.8009833762584875,0.8186,0.8076459963877183,cocktails_smac,electricity,44120,random search
85,972.2675440311432,0.8132755794895808,0.8455,0.8191350592012844,cocktails_smac,electricity,44120,random search
89,800.9001443386078,0.8258019199250761,0.9134,0.8274633754766205,cocktails_smac,electricity,44120,local search
66,1959.7255671024323,0.7499414656988995,0.7671,0.7624423038330324,cocktails_smac,electricity,44120,random search
79,1219.805926322937,0.8158510887380005,0.9597,0.8202388119606663,cocktails_smac,electricity,44120,random search
75,1508.6395180225372,0.8159681573402013,0.8628,0.8206903471804134,cocktails_smac,electricity,44120,local search
87,969.2964005470276,0.817490049168813,0.8619,0.8223961468994582,cocktails_smac,electricity,44120,random search
91,938.1135694980621,0.7985249356122688,0.8205,0.8038832028898254,cocktails_smac,electricity,44120,random search
92,850.9268779754639,0.8108171388433623,0.8425,0.817780453542043,cocktails_smac,electricity,44120,random search
95,813.5967102050781,0.8231093420744556,0.942,0.8288681517158338,cocktails_smac,electricity,44120,local search
96,811.9556565284729,0.8197143526106299,0.8895,0.824051776038531,cocktails_smac,electricity,44120,local search
86,1492.381697177887,0.8183095293842192,0.8984,0.8205900060204696,cocktails_smac,electricity,44120,local search
99,804.4880468845367,0.8207679700304379,0.8923,0.8260585992374072,cocktails_smac,electricity,44120,local search
90,1368.3247678279877,0.8213533130414423,0.962,0.8258579169175195,cocktails_smac,electricity,44120,random search
94,1155.0395166873932,0.802505268087099,0.9221,0.8080975316074653,cocktails_smac,electricity,44120,random search
98,1036.4724328517914,0.804612502926715,0.8249,0.8096026490066225,cocktails_smac,electricity,44120,random search
105,803.3640222549438,0.8208850386326387,0.8933,0.8245534818382501,cocktails_smac,electricity,44120,local search
102,879.1966333389282,0.8218215874502458,0.868,0.8239514348785872,cocktails_smac,electricity,44120,random search
106,780.048957824707,0.8147974713181925,0.8931,0.818783865141481,cocktails_smac,electricity,44120,random search
100,1040.6675882339478,0.8158510887380005,0.8504,0.8216937587798515,cocktails_smac,electricity,44120,local search
107,863.7475235462189,0.8262701943338796,0.9388,0.8295705398354405,cocktails_smac,electricity,44120,local search
104,941.4535934925079,0.812104893467572,0.8621,0.8185831828215934,cocktails_smac,electricity,44120,random search
93,1495.4177930355072,0.8037930227113088,0.8268,0.8081978727674092,cocktails_smac,electricity,44120,local search
88,1943.1637041568756,0.8111683446499649,0.8448,0.8173790889022677,cocktails_smac,electricity,44120,random search
109,837.1392631530762,0.8265043315382814,0.9077,0.8290688340357214,cocktails_smac,electricity,44120,local search
