,dataset_id,dataset_name,original_n_samples,original_n_features,num_categorical_columns,num_pseudo_categorical_columns,num_columns_missing,num_rows_missing,score_resnet,score_linear,score_hgbt,score_tree,score_mlp,score_rf,heterogeneous,n_samples,too_small
51,41166,volkert,58310,180,0,33,0,0,,0.9878908517873435,0.9884299577009207,0.9736667496060379,0.9890520029858173,0.9852782615907771,,23038,False
52,41168,jannis,83733,54,0,0,0,0,,0.7266,0.7793666666666667,0.6797,0.7175,0.7700333333333333,,57580,False
53,41169,helena,65196,27,0,0,0,0,,0.9659412404787812,0.9699673558215451,0.9424374319912949,0.9646354733405875,0.967791077257889,,6126,False
54,41671,microaggregation2,20000,20,0,10,0,0,,0.6562825278810409,0.6410408921933086,0.5680297397769517,0.661189591078067,0.6359851301115242,,8964,False
55,41972,Indian_pines,9144,220,0,0,0,0,,0.8785619174434087,0.8957390146471372,0.7669773635153129,0.9185086551264978,0.866444740346205,,5004,False
56,42206,porto-seguro,595212,37,25,3,0,142164,,0.5650507561632484,0.5677957323389269,0.5210275533457635,0.5632380360472343,0.5483219390926041,,34308,False
57,42343,KDD98,82318,477,136,11,27,8339,,0.5405986846149118,0.5622349253180897,0.5175487122748786,0.5214825742209109,0.5450242793041982,,18076,False
58,42395,SantanderCustomerSatisfaction,200000,201,0,0,0,0,,0.7746070804889665,0.7736148595015082,0.5809652325765995,0.7196777266232736,0.7386886807429751,,40196,False
59,42435,SantanderCustomerSatisfaction,200000,201,1,0,0,0,,0.7746070804889665,0.7736148595015082,0.5809652325765995,0.7196777266232736,0.7386886807429751,,40196,False
60,42468,hls4ml_lhc_jets_hlf,830000,16,0,0,0,0,,0.8864666666666666,0.8968666666666667,0.8432,0.9015,0.8911666666666667,,334250,False
61,42477,default-of-credit-card-clients,30000,23,0,2,0,0,,0.6693119035660472,0.708136614766449,0.6207433450527373,0.7059266700150678,0.699347061778001,,13272,False
62,42742,porto-seguro,595212,57,31,6,0,142164,,0.563445204060493,0.5625647400041434,0.5163662730474414,0.5358400662937642,0.5592500517920033,,34308,False
63,42746,KDDCup99,4898431,41,9,5,0,0,,1.0,1.0,1.0,0.9999666666666667,1.0,,2144034,False
64,43489,Census-(Augmented),1000000,14,0,0,0,0,,0.7642,0.7914,0.7123,0.7884,0.7848666666666667,,630668,False
